prov_Gemcode,provcode,Gemcodel,provcodel
3,20,Appingedam,Groningen
5,20,Bedum,Groningen
7,20,Bellingwedde,Groningen
9,20,Ten Boer,Groningen
10,20,Delfzijl,Groningen
1651,20,Eemsmond,Groningen
14,20,Groningen,Groningen
15,20,Grootegast,Groningen
17,20,Haren,Groningen
18,20,Hoogezand-Sappemeer,Groningen
22,20,Leek,Groningen
24,20,Loppersum,Groningen
1663,20,De Marne,Groningen
25,20,Marum,Groningen
1987,20,Menterwolde,Groningen
1895,20,Oldambt,Groningen
765,20,Pekela,Groningen
40,20,Slochteren,Groningen
37,20,Stadskanaal,Groningen
47,20,Veendam,Groningen
48,20,Vlagtwedde,Groningen
53,20,Winsum,Groningen
56,20,Zuidhorn,Groningen
59,21,Achtkarspelen,Friesland
60,21,Ameland,Friesland
63,21,het Bildt,Friesland
1891,21,Dantumadiel,Friesland
58,21,Dongeradeel,Friesland
1722,21,Ferwerderadiel,Friesland
70,21,Franekeradeel,Friesland
1921,21,De Friese Meren,Friesland
72,21,Harlingen,Friesland
74,21,Heerenveen,Friesland
79,21,Kollumerland en Nieuwkruisland,Friesland
80,21,Leeuwarden,Friesland
81,21,Leeuwarderadeel,Friesland
140,21,Littenseradiel,Friesland
1908,21,Menameradiel,Friesland
85,21,Ooststellingwerf,Friesland
86,21,Opsterland,Friesland
88,21,Schiermonnikoog,Friesland
90,21,Smallingerland,Friesland
1900,21,Súdwest-Fryslân,Friesland
93,21,Terschelling,Friesland
737,21,Tytsjerksteradiel,Friesland
96,21,Vlieland,Friesland
98,21,Weststellingwerf,Friesland
1680,22,Aa en Hunze,Drenthe
106,22,Assen,Drenthe
1681,22,Borger-Odoorn,Drenthe
109,22,Coevorden,Drenthe
114,22,Emmen,Drenthe
118,22,Hoogeveen,Drenthe
119,22,Meppel,Drenthe
1731,22,Midden-Drenthe,Drenthe
1699,22,Noordenveld,Drenthe
1730,22,Tynaarlo,Drenthe
1701,22,Westerveld,Drenthe
1690,22,De Wolden,Drenthe
